iter	Passed	Remaining
401	13622	3320
402	13657	3287
403	13691	3253
404	13725	3219
405	13760	3185
406	13795	3152
407	13831	3118
408	13863	3084
409	13896	3050
410	13931	3016
411	13965	2982
412	13998	2948
413	14030	2914
414	14063	2880
415	14095	2846
416	14128	2812
417	14158	2777
418	14189	2743
419	14219	2708
420	14254	2674
421	14291	2641
422	14325	2607
423	14356	2573
424	14386	2538
425	14417	2504
426	14450	2470
427	14485	2436
428	14521	2403
429	14553	2369
430	14587	2335
431	14620	2301
432	14655	2267
433	14693	2234
434	14727	2200
435	14765	2167
436	14797	2133
437	14828	2098
438	14859	2064
439	14890	2030
440	14921	1996
441	14953	1962
442	14986	1928
443	15017	1894
444	15051	1860
445	15086	1826
446	15123	1793
447	15159	1759
448	15189	1725
449	15221	1691
450	15250	1656
451	15281	1622
452	15312	1588
453	15346	1554
454	15377	1520
455	15409	1486
456	15445	1453
457	15479	1419
458	15515	1385
459	15547	1351
460	15583	1318
461	15621	1284
462	15654	1251
463	15689	1217
464	15724	1183
465	15762	1150
466	15798	1116
467	15839	1083
468	15876	1049
469	15911	1015
470	15945	981
471	15979	947
472	16012	914
473	16045	880
474	16082	846
475	16113	812
476	16150	778
477	16187	745
478	16221	711
479	16254	677
480	16287	643
481	16321	609
482	16354	575
483	16394	541
484	16430	508
485	16461	474
486	16493	440
487	16525	406
488	16558	372
489	16590	338
490	16622	304
491	16658	270
492	16688	236
493	16721	203
494	16752	169
495	16787	135
496	16824	101
497	16861	67
498	16894	33
499	16929	0
