iter	RMSE
250	8.171513505
251	8.167591574
252	8.160778158
253	8.155997148
254	8.152655837
255	8.14665602
256	8.140129945
257	8.132787006
258	8.128162634
259	8.120192886
260	8.117628323
261	8.112105633
262	8.110125301
263	8.103773574
264	8.09843059
265	8.093486953
266	8.090419007
267	8.087903506
268	8.084487857
269	8.079923572
270	8.077160384
271	8.074563926
272	8.073152649
273	8.071743204
274	8.068609064
275	8.06729488
276	8.063517259
277	8.061370784
278	8.058140678
279	8.055166326
280	8.050304577
281	8.045000068
282	8.040845904
283	8.037467336
284	8.032472515
285	8.026877704
286	8.024792159
287	8.022272163
288	8.018392683
289	8.015107374
290	8.01264199
291	8.006817632
292	8.002592102
293	7.998651726
294	7.995234063
295	7.992250682
296	7.988108248
297	7.984859943
298	7.979972403
299	7.976874355
300	7.972541454
301	7.969767947
302	7.962664784
303	7.959903562
304	7.954845796
305	7.948061252
306	7.942928276
307	7.936781133
308	7.932496347
309	7.929509979
310	7.926730358
311	7.923194217
312	7.920689058
313	7.914574306
314	7.911939439
315	7.908788141
316	7.903490688
317	7.897502736
318	7.894508047
319	7.89127485
320	7.887809635
321	7.881809395
322	7.875815874
323	7.871320066
324	7.867376875
325	7.862808237
326	7.858910717
327	7.855988973
328	7.852448033
329	7.849019441
330	7.843487057
331	7.837687909
332	7.834627544
333	7.829865768
334	7.826733643
335	7.824207599
336	7.81768699
337	7.813069029
338	7.807929933
339	7.80171452
340	7.795638316
341	7.791616679
342	7.784774339
343	7.78144761
344	7.77781908
345	7.772831262
346	7.767376601
347	7.764649938
348	7.760842711
349	7.756064456
350	7.753076397
351	7.749593717
352	7.746509202
353	7.743022113
354	7.737165705
355	7.7339847
356	7.73050811
357	7.726021947
358	7.720991749
359	7.714576518
360	7.71115475
361	7.707415614
362	7.703308753
363	7.699628986
364	7.692919257
365	7.688196606
366	7.686194553
367	7.682581914
368	7.67962057
369	7.676604773
370	7.673288853
371	7.67127547
372	7.668080534
373	7.663251592
374	7.660691518
375	7.658331516
376	7.654336981
377	7.650362976
378	7.648057257
379	7.644698917
380	7.641870052
381	7.639963899
382	7.634276116
383	7.629096126
384	7.623643171
385	7.61927249
386	7.615537378
387	7.609899327
388	7.606279009
389	7.602988138
390	7.600552245
391	7.594060273
392	7.591061782
393	7.58870062
394	7.582675444
395	7.579388005
396	7.577194163
397	7.575117454
398	7.569018647
399	7.566676866
400	7.563303334
401	7.55561796
402	7.552562109
403	7.548281145
404	7.545409701
405	7.540335147
406	7.538683432
407	7.534976669
408	7.52975693
409	7.526100171
410	7.5213051
411	7.517535817
412	7.51422017
413	7.511196397
414	7.506588346
415	7.503019526
416	7.500172347
417	7.497978406
418	7.494561456
419	7.491971412
420	7.487711372
421	7.483452608
422	7.480647801
423	7.47759153
424	7.474649647
425	7.471489411
426	7.467841289
427	7.46619205
428	7.462137395
429	7.458300619
430	7.454479105
431	7.45077488
432	7.44526673
433	7.441553521
434	7.439629572
435	7.436278229
436	7.4297783
437	7.426302924
438	7.422832669
439	7.419086353
440	7.415727849
441	7.412738403
442	7.407464596
443	7.404165395
444	7.400196989
445	7.396042745
446	7.393446475
447	7.390230312
448	7.385239474
449	7.381277013
450	7.378163401
451	7.376622637
452	7.374321698
453	7.369527581
454	7.36307168
455	7.360413185
456	7.356029282
457	7.352160759
458	7.348592991
459	7.345863099
460	7.342607602
461	7.340138265
462	7.336808265
463	7.331115756
464	7.328208671
465	7.324600721
466	7.322645106
467	7.320835917
468	7.31901157
469	7.315179484
470	7.309781905
471	7.306325827
472	7.303679077
473	7.300819756
474	7.297666556
475	7.291424023
476	7.286933811
477	7.284100399
478	7.28078293
479	7.276521747
480	7.272723987
481	7.270552705
482	7.268740171
483	7.264111036
484	7.261066086
485	7.256777554
486	7.254372276
487	7.251294898
488	7.248648504
489	7.245938546
490	7.242802535
491	7.24074144
492	7.238573258
493	7.236606112
494	7.233286139
495	7.229703948
496	7.225385308
497	7.219101614
498	7.217360255
499	7.213631993
